,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,<0,6.0,critical/order existing credit,radio/tv,1169.0,no known savings,>=7,4.0,male single,none,4.0,real estate,67.0,stores,own,2.0,skilled,1.0,yes,yes,good
1,0<=X<200,48.0,existing paid,radio/tv,5951.0,<100,1<=X<4,2.0,female div/dep/mar,none,2.0,real estate,22.0,stores,own,1.0,skilled,1.0,none,yes,bad
2,no checking,12.0,critical/order existing credit,education,2096.0,<100,4<=X<7,2.0,male single,none,3.0,real estate,49.0,stores,own,1.0,unskilled resident,2.0,none,yes,good
3,<0,42.0,existing paid,furniture/equipment,7882.0,<100,4<=X<7,2.0,male single,guarantor,4.0,life insurance,45.0,stores,for free,1.0,skilled,2.0,none,yes,good
4,<0,24.0,delayed previously,new car,4870.0,<100,1<=X<4,3.0,male single,none,4.0,no known property,53.0,stores,for free,2.0,skilled,2.0,none,yes,bad
5,no checking,36.0,existing paid,education,9055.0,no known savings,1<=X<4,2.0,male single,none,4.0,no known property,35.0,stores,for free,1.0,unskilled resident,2.0,yes,yes,good
6,no checking,24.0,existing paid,furniture/equipment,2835.0,500<=X<10000,>=7,3.0,male single,none,4.0,life insurance,53.0,stores,own,1.0,skilled,1.0,none,yes,good
7,0<=X<200,36.0,existing paid,used car,6948.0,<100,1<=X<4,2.0,male single,none,2.0,car,35.0,stores,rent,1.0,high qualif/self emp/mgmt,1.0,yes,yes,good
8,no checking,12.0,existing paid,radio/tv,3059.0,>=1000,4<=X<7,2.0,male div/sep,none,4.0,real estate,61.0,stores,own,1.0,unskilled resident,1.0,none,yes,good
9,0<=X<200,30.0,critical/order existing credit,new car,5234.0,<100,unemployed,4.0,male mar/wid,none,2.0,car,28.0,stores,own,2.0,high qualif/self emp/mgmt,1.0,none,yes,bad
10,0<=X<200,12.0,existing paid,new car,1295.0,<100,<1,3.0,female div/dep/mar,none,1.0,car,25.0,stores,rent,1.0,skilled,1.0,none,yes,bad
11,<0,48.0,existing paid,business,4308.0,<100,<1,3.0,female div/dep/mar,none,4.0,life insurance,24.0,stores,rent,1.0,skilled,1.0,none,yes,bad
12,0<=X<200,12.0,existing paid,radio/tv,1567.0,<100,1<=X<4,1.0,female div/dep/mar,none,1.0,car,22.0,stores,own,1.0,skilled,1.0,yes,yes,good
13,<0,24.0,critical/order existing credit,new car,1199.0,<100,>=7,4.0,male single,none,4.0,car,60.0,stores,own,2.0,unskilled resident,1.0,none,yes,bad
14,<0,15.0,existing paid,new car,1403.0,<100,1<=X<4,2.0,female div/dep/mar,none,4.0,car,28.0,stores,rent,1.0,skilled,1.0,none,yes,good
15,<0,24.0,existing paid,radio/tv,1282.0,100<=X<500,1<=X<4,4.0,female div/dep/mar,none,2.0,car,32.0,stores,own,1.0,unskilled resident,1.0,none,yes,bad
16,no checking,24.0,critical/order existing credit,radio/tv,2424.0,no known savings,>=7,4.0,male single,none,4.0,life insurance,53.0,stores,own,2.0,skilled,1.0,none,yes,good
17,<0,30.0,no credits/all paid,business,8072.0,no known savings,<1,2.0,male single,none,3.0,car,25.0,bank,own,3.0,skilled,1.0,none,yes,good
18,0<=X<200,24.0,existing paid,used car,12579.0,<100,>=7,4.0,female div/dep/mar,none,2.0,no known property,44.0,stores,for free,1.0,high qualif/self emp/mgmt,1.0,yes,yes,bad
19,no checking,24.0,existing paid,radio/tv,3430.0,500<=X<10000,>=7,3.0,male single,none,2.0,car,31.0,stores,own,1.0,skilled,2.0,yes,yes,good
20,no checking,9.0,critical/order existing credit,new car,2134.0,<100,1<=X<4,4.0,male single,none,4.0,car,48.0,stores,own,3.0,skilled,1.0,yes,yes,good
21,<0,6.0,existing paid,radio/tv,2647.0,500<=X<10000,1<=X<4,2.0,male single,none,3.0,real estate,44.0,stores,rent,1.0,skilled,2.0,none,yes,good
22,<0,10.0,critical/order existing credit,new car,2241.0,<100,<1,1.0,male single,none,3.0,real estate,48.0,stores,rent,2.0,unskilled resident,2.0,none,no,good
23,0<=X<200,12.0,critical/order existing credit,used car,1804.0,100<=X<500,<1,3.0,male single,none,4.0,life insurance,44.0,stores,own,1.0,skilled,1.0,none,yes,good
24,no checking,10.0,critical/order existing credit,furniture/equipment,2069.0,no known savings,1<=X<4,2.0,male mar/wid,none,1.0,car,26.0,stores,own,2.0,skilled,1.0,none,no,good
25,<0,6.0,existing paid,furniture/equipment,1374.0,<100,1<=X<4,1.0,male single,none,2.0,real estate,36.0,bank,own,1.0,unskilled resident,1.0,yes,yes,good
26,no checking,6.0,no credits/all paid,radio/tv,426.0,<100,>=7,4.0,male mar/wid,none,4.0,car,39.0,stores,own,1.0,unskilled resident,1.0,none,yes,good
27,>=200,12.0,all paid,radio/tv,409.0,>=1000,1<=X<4,3.0,female div/dep/mar,none,3.0,real estate,42.0,stores,rent,2.0,skilled,1.0,none,yes,good
